#{"t_start": 1744471136.776834, "env_id": "LunarLander-v2"}
r,l,t
-59.461592,282,299.970135
70.263839,1000,302.841789
107.304906,1000,305.893081
128.916349,1000,314.382601
76.971323,1000,319.182154
92.015686,1000,325.213601
155.009853,1000,328.425575
80.286368,1000,334.545566
24.974631,1000,337.994926
-62.285583,370,342.106337
-105.985254,367,343.16554
44.560362,1000,346.349984
-72.928671,214,347.037525
-166.689992,594,352.491236
-9.468883,1000,356.019061
131.539194,1000,362.088038
25.519352,1000,365.18214
84.960113,1000,371.327958
-40.502094,339,372.449676
-94.887807,636,374.445303
-120.348803,361,375.540139
80.870781,1000,383.242973
-98.01687,447,384.802642
-106.327839,434,386.453277
-126.174307,455,388.098201
21.391811,1000,396.094211
-108.615348,780,398.850803
-87.926467,449,400.395093
85.633507,1000,406.903016
161.82194,718,409.430999
-85.797274,411,414.078918
-113.846611,556,415.816386
76.469798,1000,419.742536
-48.301258,421,421.090084
128.399877,654,426.184141
-78.622289,332,427.320155
-108.167242,650,429.428435
96.584109,1000,435.732917
-68.942744,524,437.343829
-74.743293,492,439.133548
38.612742,1000,445.305438
184.600175,921,448.139219
193.585547,688,453.437773
120.242215,1000,456.606635
180.832547,514,458.08415
162.284899,659,462.906996
-122.180051,308,463.894203
-64.278164,203,464.567649
167.245301,684,466.522603
-74.693309,397,467.773657
216.026265,650,472.967827
239.472427,442,474.332744
-192.152508,385,475.404513
-95.823203,296,476.294634
-85.204853,398,477.462299
-123.084277,350,481.325395
-44.570287,435,482.571924
-30.730353,379,483.790447
-102.288309,368,484.923517
-93.767657,315,485.725585
-87.012134,340,489.717742
134.069997,783,492.092007
164.819887,615,493.848911
138.377078,542,495.5048
173.719602,572,500.43669
186.564436,768,502.924883
118.144613,878,508.538692
140.240257,606,510.450524
-118.966936,383,511.552342
-197.170697,496,513.107543
-39.758773,277,514.024958
-64.80204,273,517.883788
218.954453,614,519.75299
203.02455,455,521.055219
-57.894937,264,521.90678
-89.477657,307,522.715804
-128.89083,267,523.474773
202.202401,534,528.129032
127.620655,831,530.473705
-79.027418,289,531.223161
-57.533626,330,532.4511
-153.316487,668,537.613222
-37.839333,353,538.642988
126.049896,803,540.92925
-35.751734,294,541.760031
186.894616,590,546.44277
-84.805172,1000,549.529036
188.475273,497,550.85354
-114.938963,443,555.004803
188.443304,583,556.851533
-158.347422,955,559.654277
-132.503003,463,564.012662
-119.816172,402,565.08119
-117.557581,511,566.826355
160.404533,499,568.534638
-119.856706,692,573.383695
-60.275487,410,574.520422
-88.263294,406,575.755428
-54.245399,233,576.486161
-85.086866,508,578.008575
-78.240382,401,581.986951
-173.915237,723,584.460783
22.652143,1000,589.987687
151.917475,688,592.094771
193.480425,940,595.093269
-39.728897,737,600.237294
186.403324,555,601.906232
-90.207001,682,603.898112
70.554965,889,609.645928
210.282698,576,611.411001
205.681264,502,612.945208
-67.549283,477,614.350816
83.579641,892,619.856141
186.745277,448,621.247557
-112.281684,459,622.715932
152.411532,737,628.02214
164.513931,505,629.555024
106.351147,731,631.603472
-124.518057,489,636.12978
-62.342482,314,637.079429
106.47006,548,638.717615
-93.525756,403,639.921259
-148.007721,425,641.286151
151.705937,621,646.290659
198.377651,611,648.282629
168.08129,779,650.720154
106.952806,833,656.612545
-75.399821,439,657.963608
-66.649997,462,659.166489
138.243214,559,660.709059
129.90733,815,665.764374
-94.79246,382,666.689315
-50.525319,1000,672.258031
211.60773,560,673.744241
-87.862601,345,674.675886
-200.791388,450,675.894902
196.617082,562,677.650846
-31.767428,388,681.387242
207.508252,493,682.784011
-74.697264,411,683.965689
-90.247618,124,684.338643
-76.071988,315,685.179704
-69.651119,315,686.154302
171.878753,569,691.593319
93.921067,936,695.554241
181.876922,618,701.029387
-36.626323,402,702.235918
-23.194867,626,704.566047
-116.259626,422,705.815195
201.064069,580,711.28101
-56.384169,423,712.937917
-46.695761,227,713.603278
168.178608,741,715.874894
192.166197,546,717.995961
207.299664,520,722.984665
193.619028,515,724.548188
164.12472,591,726.635902
-77.295524,317,727.563918
204.315201,685,733.640376
229.285781,539,735.781489
202.899004,432,737.187988
-72.159515,344,738.335191
173.866674,482,743.812275
168.0867,527,745.473102
-50.261103,245,746.433908
85.46676,720,749.095144
221.362569,594,754.825626
190.188262,549,756.637013
