#{"t_start": 1744462279.9696674, "env_id": "LunarLander-v2"}
r,l,t
211.714568,478,314.408766
-11.983369,283,314.937926
228.09039,398,317.819122
17.058649,419,318.498568
225.942491,421,319.210032
257.46086,356,319.797951
221.64223,395,320.451705
-47.44311,397,323.050867
198.934598,469,323.870475
216.327779,410,324.771089
-167.494447,704,325.990075
211.019811,478,328.687146
241.549611,480,329.522123
-58.081477,374,330.158484
224.285503,465,330.986964
69.839286,1000,334.793751
186.485996,501,335.678134
216.001195,493,336.512271
-11.316305,379,337.183748
247.923448,352,339.770808
232.862323,468,340.789769
202.130007,491,341.640414
183.520356,589,342.657017
207.784332,423,345.186607
215.723483,497,346.063275
200.256243,430,346.886227
222.272708,552,347.996031
16.392425,296,348.706761
234.771695,514,351.567965
-48.81427,398,352.263091
247.024808,565,353.335103
205.416577,422,354.068069
1.044037,293,356.687117
10.226975,327,357.321362
197.983761,382,357.941143
201.440541,435,358.671956
-6.447646,304,359.172652
-11.218798,336,359.730882
227.297026,396,362.301636
230.2184,431,363.048263
229.674041,477,363.919996
210.908196,434,364.911937
-33.002924,417,365.641887
170.44212,486,368.259814
230.691925,396,368.991706
203.186207,400,369.672411
-40.654519,408,370.407908
-8.829267,319,370.969095
5.796534,290,373.63892
243.775791,397,374.289981
231.31214,425,374.972955
193.7602,625,376.095764
183.0728,494,378.878097
149.196478,533,379.867978
-59.422375,443,380.897623
-97.623686,482,381.816728
34.258258,1000,385.531475
272.167708,359,386.15791
185.385711,546,387.158105
-42.82411,1000,390.97411
222.911067,426,391.694978
38.885665,1000,393.466643
165.743635,651,396.72083
205.643414,447,397.523317
213.19217,498,398.333632
214.491691,465,399.114806
14.490971,326,401.610089
228.037673,440,402.417835
-49.354823,241,402.827038
209.686074,365,403.501398
-30.528507,485,404.43283
209.389175,428,405.346658
193.159533,513,407.998144
245.062745,399,408.654596
217.378315,513,409.563321
-45.908599,344,410.190442
229.829792,453,413.173103
183.821105,478,414.034461
211.956462,419,414.759823
-92.490081,505,415.700022
213.325961,551,418.664441
200.424342,461,419.471882
192.061436,436,420.371484
202.523998,431,421.257423
233.250982,476,422.045624
-54.832134,332,424.472075
-60.229202,444,425.248369
235.759277,418,426.030652
-42.651848,413,426.725473
208.392074,397,427.428456
203.954709,468,430.235361
-55.242084,380,430.848495
112.117625,745,432.148255
183.708321,464,432.922033
-12.665262,478,435.760268
207.938429,413,436.638044
202.24404,442,437.477883
157.986256,464,438.233253
