rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/clip_range
84.45254561,253952,124,739,729.65,343,0.00025,0.9519842,1230,-1.196120247617364,0.0033250675,10.55441386550665,-0.002686189016094431,0.01298828125,2.183445930480957,0.2
84.94276866,256000,125,745,729.26,343,0.00025,0.9477183,1240,-1.168713914975524,0.009441104,17.49958508498967,-0.004181180632440373,0.02119140625,16.368980407714844,0.2
87.12507964000001,258048,126,751,737.39,343,0.00025,0.9273586,1250,-1.1898548051714897,0.0065301,21.44979598671198,-0.00494835170393344,0.063232421875,2.778687000274658,0.2
84.79756603,260096,127,756,719.53,343,0.00025,0.90181357,1260,-1.174887739121914,0.013110004,33.60614577159286,-0.006093458661052864,0.10966796875,0.9763176441192627,0.2
85.62363312999997,262144,128,762,710.83,343,0.00025,0.87405354,1270,-1.1614184234291316,0.0030081212,40.19254731461406,-0.0033117281971499326,0.005859375,7.957740783691406,0.2
84.78266464000001,264192,129,767,710.83,344,0.00025,0.8724087,1280,-1.1391081184148788,0.0059406655,62.97088932693005,-0.004174301239254418,0.02373046875,17.175201416015625,0.2
86.49897750999999,266240,130,773,710.16,344,0.00025,0.92243105,1290,-1.1895886991173028,0.0073784073,17.27026137262583,-0.003465067049546633,0.0720703125,1.925431489944458,0.2
85.46965801,268288,131,779,709.79,344,0.00025,0.9412615,1300,-1.1919765796512365,0.0049032727,18.843894812464715,-0.0031867433688603343,0.035791015625,5.435268878936768,0.2
83.3687068,270336,132,785,692.14,344,0.00025,0.9509713,1310,-1.1490807991474867,0.004520381,24.992294907569885,-0.0023946670335135423,0.037890625,3.3131067752838135,0.2
81.46298587999999,272384,133,790,683.49,344,0.00025,0.88853955,1320,-1.1419337693601848,0.008585831,85.02193750739097,-0.004414540171273984,0.031201171875,41.203453063964844,0.2
81.45148962,274432,134,796,691.94,344,0.00025,0.8337507,1330,-1.0351750714704395,0.0084874835,59.29454793706536,-0.0007350445855990983,0.06865234375,17.369701385498047,0.2
75.41339724000001,276480,135,801,673.31,344,0.00025,0.91548353,1340,-1.2289591137319804,0.014301833,11.799113930016755,-0.009297378963674418,0.15107421875,4.244625091552734,0.2
71.31029982,278528,136,807,646.39,344,0.00025,0.8603474,1350,-1.2185235101729632,0.0067002364,95.01608001291751,-0.005381902470253408,0.036181640625,29.284744262695312,0.2
68.67902296999999,280576,137,813,638.54,344,0.00025,0.89374375,1360,-1.2170899659395218,0.0052016815,42.26063956618309,-0.0010171227098908276,0.014306640625,6.999421119689941,0.2
68.54424482,282624,138,819,638.54,344,0.00025,0.8473152,1370,-1.120987506583333,0.00948295,75.18749840259552,-0.005887134539079852,0.07451171875,34.2591438293457,0.2
66.75521238000002,284672,139,824,629.82,345,0.00025,0.8821446,1380,-1.2267857659608126,0.009748302,18.402949723601342,-0.003162538635660894,0.048046875,6.451778888702393,0.2
67.27785253,286720,140,830,638.75,345,0.00025,0.92887545,1390,-1.1974248189479113,0.002229313,21.716327667236328,-0.0037190253380686043,0.013916015625,3.396411895751953,0.2
65.80577980000001,288768,141,836,629.71,345,0.00025,0.953989,1400,-1.11798462793231,0.008316093,7.848380568623543,-0.008169407016248442,0.07822265625,1.933437466621399,0.2
65.63707339,290816,142,842,629.96,345,0.00025,0.874182,1410,-1.0673461485654117,0.006019187,52.53641536831856,-0.005504758583265356,0.05234375,16.387020111083984,0.2
65.39756265999999,292864,143,847,608.06,345,0.00025,0.9347161,1420,-1.207932287454605,0.006971265,37.48502077385783,-0.00903183958507725,0.03525390625,9.876810073852539,0.2
63.45119923,294912,144,853,608.85,345,0.00025,0.8732686,1430,-1.1091107562184335,0.0033582365,96.42862583100796,-0.004317906359210611,0.014013671875,24.921466827392578,0.2
62.51852112,296960,145,858,591.15,345,0.00025,0.9122698,1440,-1.1939198322594167,0.006123558,33.896137215197086,-0.002933964483963791,0.031640625,21.605236053466797,0.2
61.725004119999994,299008,146,864,598.33,345,0.00025,0.9196771,1450,-1.143135942518711,0.0026673628,59.051647652685645,-0.004078310025215614,0.024658203125,23.393396377563477,0.2
64.83413732999999,301056,147,870,607.24,345,0.00025,0.8386244,1460,-1.2102919172495603,0.0062893233,26.73409847840667,-0.005646779476955998,0.0505859375,3.7537484169006348,0.2
59.588712619999995,303104,148,876,552.27,345,0.00025,0.9170809,1470,-1.2302124958485365,0.0061129658,33.89317370727658,-0.0066829215284087695,0.030517578125,5.233359336853027,0.2
56.54317964,305152,149,882,544.1,345,0.00025,0.8771474,1480,-1.0272797062993049,0.0031811371,155.2071503818035,-0.0026727283853688276,0.015966796875,81.33612060546875,0.2
