#{"t_start": 1744013230.2761657, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,228,4136.726053
5.0,310,4140.884501
4.0,260,4143.898019
3.0,217,4145.761784
4.0,245,4148.701443
3.0,217,4151.51083
3.0,212,4154.543349
8.0,299,4157.644221
7.0,245,4160.690395
5.0,290,4163.806939
6.0,358,4168.074259
6.0,579,4174.225174
3.0,214,4177.039352
8.0,410,4181.568019
8.0,5848,4250.637809
9.0,309,4253.848206
5.0,305,4257.909008
4.0,262,4261.007895
2.0,181,4262.619195
3.0,213,4265.59433
4.0,263,4268.596571
3.0,229,4271.352872
3.0,215,4273.268974
3.0,214,4276.038763
1.0,153,4277.575255
2.0,201,4280.289159
3.0,233,4283.007243
1.0,154,4284.612287
1.0,158,4286.307214
5.0,307,4290.411679
8.0,442,4294.904899
8.0,282,4298.067903
5.0,294,4302.037165
10.0,515,4307.971175
7.0,390,4312.429941
7.0,263,4315.470398
3.0,244,4318.455705
8.0,304,4321.80701
3.0,219,4324.616237
10.0,356,4328.075855
8.0,311,4332.14825
6.0,386,4336.471111
5.0,305,4339.595633
6.0,359,4343.865369
8.0,602,4351.307154
7.0,251,4354.227566
3.0,218,4355.992526
4.0,260,4359.093728
6.0,342,4363.39316
5.0,313,4367.565035
8.0,403,4372.121586
3.0,216,4373.931777
9.0,324,4378.290796
7.0,249,4381.337166
9.0,405,4385.880733
7.0,247,4388.775174
5.0,329,4392.97727
6.0,369,4396.436351
12.0,430,4402.052659
6.0,413,4406.542824
3.0,228,4409.441751
2.0,180,4411.186002
5.0,326,4415.428486
8.0,421,4419.938196
5.0,293,4423.064399
8.0,296,4427.410582
5.0,314,4431.095025
6.0,323,4435.393762
5.0,289,4438.472312
6.0,339,4444.285654
4.0,277,4448.563771
7.0,245,4452.68387
7.0,420,4459.205249
6.0,341,4465.097398
6.0,342,4468.943613
8.0,345,4474.099618
7.0,245,4477.387314
8.0,424,4482.586569
7.0,248,4486.262268
7.0,369,4491.385906
7.0,411,4496.641673
9.0,363,4501.879808
6.0,318,4505.491403
4.0,245,4508.565449
6.0,345,4513.489325
8.0,375,4518.111601
5.0,327,4523.175771
7.0,246,4526.783671
5.0,286,4530.160691
4.0,277,4534.055196
2.0,184,4536.183427
4.0,244,4540.040637
3.0,215,4543.403968
5.0,326,4547.553178
3.0,215,4551.278725
4.0,245,4554.222868
4.0,275,4557.561856
7.0,367,4563.283161
3.0,214,4567.175292
5.0,291,4572.186727
6.0,337,4579.94111
13.0,371,4585.17216
7.0,373,4588.961804
8.0,410,4596.542583
7.0,248,4601.315403
5.0,290,4606.782702
10.0,379,4612.301229
8.0,1096,4626.457087
9.0,326,4633.123645
12.0,455,4640.499969
6.0,338,4643.993114
6.0,356,4648.619782
7.0,410,4653.460961
9.0,345,4659.163818
6.0,375,4664.760625
3.0,210,4667.269838
6.0,319,4672.278529
6.0,337,4678.289494
4.0,246,4680.743312
9.0,422,4690.424776
7.0,383,4695.785677
5.0,318,4699.481175
10.0,374,4705.694077
13.0,515,4714.525815
3.0,215,4718.526566
4.0,244,4722.37602
4.0,276,4726.460473
4.0,277,4730.414841
7.0,369,4736.178395
2.0,193,4738.509969
4.0,297,4743.902489
5.0,1310,4762.902311
7.0,405,4768.590599
7.0,387,4774.15653
10.0,370,4779.657674
11.0,267,4783.403932
5.0,288,4787.470636
5.0,324,4793.043979
4.0,277,4796.926511
4.0,263,4800.94073
1.0,848,4814.058174
1.0,165,4816.279716
1.0,160,4818.293766
3.0,239,4822.075234
5.0,316,4827.467622
3.0,369,4832.989774
3.0,253,4836.791207
7.0,386,4842.309388
4.0,245,4844.647846
7.0,358,4850.657975
8.0,428,4858.84349
6.0,339,4863.569395
12.0,434,4871.471535
8.0,282,4875.600697
5.0,309,4880.321823
7.0,390,4886.563859
10.0,394,4892.933694
5.0,288,4898.298977
9.0,342,4902.687535
5.0,306,4908.117831
5.0,308,4912.624855
3.0,216,4916.368286
12.0,437,4922.657112
5.0,777,4934.707655
2.0,199,4938.602375
5.0,302,4943.238797
6.0,372,4949.377968
6.0,424,4955.835156
5.0,308,4961.191569
5.0,633,4971.757334
4.0,258,4975.990563
5.0,310,4980.542642
4.0,261,4985.064232
3.0,252,4989.180366
4.0,266,4993.060873
4.0,262,4996.954567
7.0,376,5002.732107
4.0,292,5008.210771
7.0,382,5014.262939
6.0,359,5018.943056
7.0,425,5026.80668
7.0,417,5033.253909
2.0,181,5035.71219
3.0,213,5039.411736
7.0,393,5045.191151
6.0,384,5050.778872
4.0,273,5054.827736
1.0,153,5056.951879
7.0,391,5062.877784
7.0,372,5068.778324
6.0,357,5074.570274
8.0,323,5080.112634
5.0,290,5084.325541
