#{"t_start": 1744427491.0343585, "env_id": "LunarLander-v2"}
r,l,t
-145.459391,293,162.668008
76.137948,1000,164.478132
-339.585872,261,164.929376
-42.526136,312,167.304036
-5.288364,360,167.943043
-27.520144,132,168.167045
-53.232899,263,168.628505
72.89289,1000,170.425777
0.718091,181,172.535466
-188.896744,336,173.104268
102.240684,1000,174.900714
100.14688,1000,178.918508
-9.106026,318,179.541134
75.066296,1000,181.509362
132.172085,1000,185.425081
-97.314587,373,186.092743
29.747819,215,186.471612
-90.618319,589,187.563552
-56.838481,489,190.267828
-34.783344,425,190.979383
-95.817045,444,191.768294
-88.041998,283,192.27741
-43.252907,318,192.927207
-127.743138,338,195.375571
-54.962411,412,196.090791
-49.477814,535,197.050545
46.913966,1000,198.833718
-10.264168,401,201.270179
102.760534,1000,203.027686
32.816407,381,203.682214
51.43049,1000,207.242741
-0.823976,1000,209.009886
128.921481,1000,212.737044
-84.699783,513,213.67169
79.048338,1000,217.245069
75.76507,1000,219.013246
63.846733,1000,222.768066
91.440829,1000,224.645203
121.80328,1000,228.465795
80.091128,1000,230.27754
154.893648,1000,232.060538
153.541765,792,235.306377
65.061602,1000,237.044884
114.947753,1000,240.750313
64.468917,1000,242.564022
109.091066,1000,246.075145
-37.79394,425,246.756363
84.316133,1000,250.320331
-68.822829,315,250.873559
-64.877629,426,251.61718
-22.463582,335,252.246211
7.829578,392,252.95881
97.408847,756,256.145079
-68.963924,338,256.766455
-76.989418,411,257.529396
98.833515,1000,259.39273
-82.60724,532,262.177159
106.554176,1000,263.939562
71.27028,1000,267.596911
-84.387064,352,268.217739
72.642163,1000,269.996732
-36.347335,239,270.421302
-22.727279,385,272.91663
-37.98048,386,273.631919
-31.382311,316,274.17302
109.140426,1000,276.011153
130.45367,1000,279.527753
46.892274,1000,281.322088
134.258569,1000,284.902712
95.02584,1000,286.723
104.72259,1000,290.503836
7.500212,1000,292.325222
-74.152328,313,294.709312
128.447735,762,296.103846
-34.021562,431,296.886996
88.087279,1000,300.528966
83.79284,1000,302.375663
-35.677718,217,302.792248
-89.402086,357,303.427978
72.855601,1000,307.084711
-46.085151,280,307.570321
63.195363,1000,311.19677
-32.798012,383,311.868042
-106.966427,343,312.507881
-106.40914,505,313.382721
-74.282695,442,314.187578
89.937356,1000,317.794972
51.275944,1000,319.566908
105.152459,1000,323.383392
189.968072,545,324.354643
-68.732113,467,325.190758
123.875086,1000,328.978565
173.572241,682,330.297255
123.231947,1000,334.335957
-23.643763,315,334.970269
156.337538,518,335.961787
90.822553,1000,340.093368
178.236159,412,340.903005
169.449661,458,341.779511
-64.305625,501,342.748688
-64.329125,435,343.588255
94.258644,1000,347.382714
41.938701,1000,349.320805
171.049456,828,352.852712
-85.351777,525,353.838361
71.275636,1000,357.447231
-50.664886,428,358.188957
121.796006,1000,360.000704
149.002166,700,363.106047
153.879197,692,364.381294
45.104949,1000,366.183197
254.305119,499,368.898607
192.781018,668,370.040016
132.078372,628,371.127006
169.195918,675,374.198243
221.774777,522,375.167225
219.833389,509,376.08411
-116.653864,610,377.262453
66.062974,1000,380.915461
185.539519,575,381.962204
106.450243,689,383.227975
-92.104413,595,386.403289
237.077047,505,387.348392
178.906157,613,388.57049
-93.299621,615,391.488485
-81.9937,440,392.283083
210.602409,597,393.391602
187.433839,468,394.26828
229.889853,640,397.231939
177.713881,900,398.885246
232.836678,516,399.83035
-87.808694,566,402.679379
-169.969547,732,403.973713
250.016114,562,405.015735
-54.596937,560,407.881434
141.619476,579,408.954322
-83.304419,553,409.967097
171.692065,864,413.622539
168.197214,621,414.771966
177.161319,756,416.167739
-78.147338,535,417.082217
-136.350666,762,420.312317
61.340259,822,421.759456
-112.788497,555,422.717803
153.493815,635,425.78538
-88.196225,508,426.697447
214.276244,576,427.741659
40.324209,1000,431.584136
245.010403,586,432.670684
162.185598,576,433.629208
234.416365,503,436.300075
95.752841,874,437.760509
222.635498,487,438.587142
180.083399,570,441.455821
198.146682,555,442.395668
235.830804,557,443.389601
28.353555,1000,447.08034
182.824297,610,448.443873
-60.813342,488,449.437715
-114.527598,586,450.763663
10.157127,1000,454.688973
-115.872994,730,456.088511
41.486407,1000,460.144174
176.623645,541,461.237909
169.953275,649,462.519422
167.522169,747,465.950059
221.911548,625,467.148439
172.137007,602,468.338885
176.234208,574,471.513462
162.04295,665,472.782679
220.632044,585,473.905696
181.071721,627,477.238581
197.803195,614,478.464876
205.316378,569,479.667313
37.765448,1000,483.713477
157.770932,648,484.854712
201.375794,536,485.866331
99.510204,1000,489.387126
187.586137,538,490.360592
-65.225607,453,491.199317
-142.466918,530,492.125039
-24.99212,489,494.927264
198.004867,581,496.037131
199.07708,526,497.040946
199.702463,565,498.093991
162.604037,596,500.898682
94.749448,872,502.500021
179.942588,576,503.550712
201.296208,553,506.394498
194.119949,577,507.449921
-67.079418,430,508.235255
198.583062,509,509.163514
189.034302,578,512.076544
201.460662,564,513.151419
191.4666,548,514.221643
-64.607347,434,515.045816
200.085465,487,517.860576
-37.020762,397,518.539527
222.917104,563,519.578076
-59.305345,420,520.348378
-97.046415,525,523.099416
170.52059,587,524.107226
179.3515,528,525.118965
-37.538137,347,525.701688
195.072223,545,528.43013
-35.39797,450,529.253231
-20.57307,488,530.113348
-74.276584,414,530.863179
194.400478,567,533.771227
-95.221017,532,534.736516
223.533524,593,535.799118
167.976409,520,536.748057
181.536627,536,539.71618
-77.746889,456,540.56466
197.881394,556,541.587147
198.528503,518,542.580395
-54.134772,383,545.201258
-44.00982,421,546.0063
172.262557,542,547.001291
-89.057297,455,547.875486
81.312192,1000,551.541888
-47.838297,499,552.461211
194.931605,543,553.47812
175.388947,552,556.478482
218.049867,484,557.359725
192.55929,540,558.352065
-30.841558,427,559.116131
217.455354,477,559.94696
189.983823,501,562.732074
-29.030123,432,563.520998
207.298414,607,564.570278
151.158256,647,567.537542
195.063849,480,568.413332
-67.859039,430,569.173628
173.811327,482,570.013102
-59.302784,607,572.882748
199.865358,515,573.836607
190.668242,474,574.669074
192.843516,577,575.613328
137.541679,495,578.495875
75.211611,1000,580.331218
-24.854403,322,580.899689
134.838459,628,582.061641
34.149613,1000,585.563168
226.411022,514,586.472832
202.75098,578,587.50652
144.015665,560,590.351095
185.453022,474,591.181883
194.779084,501,592.098557
193.569525,489,592.972919
-16.329354,362,595.421803
-113.906134,384,596.107356
225.98882,597,597.166639
-63.096078,293,597.696348
217.49139,531,600.450189
89.063852,1000,602.207578
49.920007,1000,605.881199
-24.044963,428,606.653895
-20.726177,359,607.316263
152.380195,635,608.518161
206.616772,681,611.724479
208.152432,493,612.609634
119.725023,604,613.695087
15.953473,450,614.514832
215.88737,560,617.384233
220.041525,568,618.41147
-40.755383,248,618.850374
-42.884297,383,619.57988
182.398248,384,620.264951
-91.242894,370,622.735837
241.330632,576,623.789575
205.777807,540,624.799193
199.306398,438,625.587564
222.601215,599,628.475702
-22.571991,461,629.303975
216.343195,511,630.247661
219.358749,505,631.145663
200.217225,462,633.872312
78.267044,1000,635.714381
-33.816276,328,636.295478
209.2375,418,637.047126
-70.158194,377,639.578588
-38.679359,322,640.212213
207.998128,425,641.040718
185.418403,513,642.080732
235.02931,469,642.917885
223.329318,451,645.559498
217.818792,449,646.315585
191.963915,419,647.054199
60.756277,1000,650.707866
184.108083,478,651.576813
-41.299213,443,652.349731
-75.617277,387,653.057348
213.057938,437,653.865762
226.858371,459,656.545827
242.947209,421,657.274989
-137.179359,401,658.013532
206.532279,481,658.898551
2.778173,332,659.525178
-72.399983,353,662.029485
-12.034957,431,662.765225
230.637174,529,663.654433
-24.768998,367,664.602551
217.029988,449,665.903042
223.428174,492,669.373419
218.584015,466,670.354081
213.847698,463,671.189744
227.245253,424,671.815407
190.92398,452,674.336715
241.100041,391,675.059315
-21.320891,424,675.835583
241.697464,420,676.79492
206.107122,406,677.669207
200.914985,377,680.965986
-68.075339,419,681.889219
234.832187,482,682.749866
-77.887285,473,683.679991
258.190961,452,684.49749
235.447771,422,687.457519
199.075405,550,688.980567
183.545011,426,689.972076
201.550265,442,691.151381
-5.868757,329,694.424721
215.305798,473,695.429695
-34.79459,381,696.352001
220.262964,508,697.328521
216.132612,568,698.625966
10.67317,1000,702.652095
212.909686,527,703.717669
217.287637,472,705.154015
-74.39401,393,707.902854
-67.795691,320,708.545452
100.469743,1000,710.592143
-8.738418,368,711.262019
118.18397,639,714.575998
197.449651,466,715.524767
-49.460334,398,716.280641
-39.945265,336,716.965187
205.540005,508,720.079391
165.9675,435,721.002906
-28.984677,356,721.701949
226.918556,419,722.521829
224.365954,427,723.438256
-69.311966,428,726.38307
217.309402,452,727.327945
238.127613,415,728.240069
209.688502,448,729.116079
-71.44524,339,729.771318
176.058321,545,732.884158
-26.054536,419,733.659759
-24.156098,403,734.476284
-8.69587,376,735.226809
-13.652565,402,736.137315
214.757368,483,739.400326
-31.55855,359,740.096238
183.658462,402,740.81395
204.195035,430,741.675287
51.109867,1000,745.83838
169.814939,494,746.894953
-62.861467,344,747.521905
-44.198716,375,748.240186
178.153123,528,751.472935
205.133071,428,752.518563
-43.94705,383,753.279117
230.965665,490,754.369052
240.160979,413,755.17032
215.102607,451,758.217945
-80.081182,439,759.12352
205.547983,512,760.245521
208.387301,466,761.278365
210.026699,964,765.275206
205.530272,501,766.231246
203.68104,441,767.147157
178.205709,518,770.863554
249.468915,419,771.668851
239.677524,431,772.501728
-73.164058,375,773.269637
-32.599404,260,773.822605
199.04934,427,774.671854
-15.486717,224,777.325099
203.107928,446,778.218825
-14.999016,359,778.963833
-106.48584,401,779.688685
-59.884407,352,780.357213
234.856092,487,783.514222
-72.357044,414,784.522334
-4.097044,302,785.110121
172.957696,544,786.164161
-80.259823,425,787.042047
246.675469,552,790.164566
208.612297,442,791.078007
222.529805,523,792.24078
-174.602051,657,793.607295
-51.532955,333,796.350535
154.972834,511,797.419649
245.396504,434,798.226385
209.121805,488,799.098032
223.121249,441,801.978654
231.540162,427,802.890346
158.980302,531,804.037804
-80.605188,525,805.088008
208.186708,444,805.896807
-36.640775,417,808.998048
134.665825,609,810.191947
187.186636,435,811.162024
187.791605,429,811.95951
225.927353,513,815.100859
217.315286,480,816.226451
167.388954,476,817.222469
205.668813,445,818.125351
-77.998851,429,820.983253
150.088022,815,822.698037
181.496388,381,823.489882
156.359804,532,824.735672
196.739427,437,827.368667
225.182701,694,828.793874
200.146303,437,829.744103
181.769056,743,833.374568
145.667529,601,834.703831
-72.089826,303,835.354799
-37.100906,467,836.314346
-72.686967,338,837.104812
127.530038,639,840.518037
-12.072724,354,841.245662
216.923001,479,842.173024
219.084673,529,843.345364
179.643036,664,846.677087
222.46485,286,847.284579
-37.325703,371,848.118967
168.28289,574,849.327483
206.423783,494,852.421052
166.137123,533,853.475306
201.140629,479,854.400719
193.079273,573,855.587818
191.571863,652,859.144744
-48.188223,483,860.070516
193.765411,517,861.027732
205.667967,521,862.152463
163.786184,674,865.858632
126.426222,772,867.494797
-91.444354,440,868.33597
178.926793,496,869.305005
68.412815,1000,873.726143
-45.388062,275,874.36932
169.167614,616,875.493795
-147.492475,761,879.314692
165.727451,574,880.593898
218.304345,510,881.611268
127.236103,711,885.082217
-85.181722,544,886.290962
-118.966842,642,887.683255
136.175724,650,891.204751
-140.33833,492,892.133325
68.61509,875,893.951679
199.525855,552,897.402751
169.983756,669,898.912328
146.519361,714,900.354888
128.8621,472,901.315707
180.691988,488,904.70622
220.614667,505,905.69174
176.89431,498,906.724561
228.023508,503,907.630992
-53.73613,391,910.527255
-90.064575,479,911.515718
195.072075,529,912.779477
103.753686,650,914.067883
-42.005616,315,916.784844
198.520709,473,917.793218
-108.312268,467,918.778857
161.842064,679,920.261086
-72.863069,459,923.347794
112.879506,578,924.434035
65.559701,1000,926.488039
-78.587045,535,930.040534
-61.132628,431,931.029905
161.621761,605,932.256196
-120.512943,467,933.240171
221.001112,436,936.49858
184.702457,451,937.383189
